ID;expression1;expression2;sentence1;sentence2
het_1434;vain;vein;He was working in vain to solve the problem.; The nurse inserted the needle into the patient's vein.
het_1363;clamored;clamored;The audience clamored for an encore performance.;The diver clamored up clams from the ocean floor.
het_338;wise;whys;Her wise advice helped me make the right choice.;He couldn't understand the whys behind their actions.
hom_556;kick;kick;The team's new strategy gave the campaign the necessary kick.;The player will kick the ball into the net during the game.
hom_1030;state;state;California is a state in the United States.;Water exists in a liquid state at room temperature.
hom_520;lose their grip;lose their grip;People might lose their grip on reality when under extreme stress.;In the match, the wrestlers often lose their grip on each other during intense holds.
hom_1526;buried;buried;The gravedigger was buried under the heavy load of earth after digging.;She was buried in her work, unable to take breaks for days.
het_191;lumber;lumber;The carpenter bought a large quantity of lumber for the new building project.;The old man lumbered slowly down the snowy path.
het_625;son;sun;My son enjoys playing football.;The sun provides warmth and light.
het_1086; actions; contractions; Her actions demonstrated her dedication to the team.; During her pregnancy, she felt frequent contractions before labor.
het_309;candidly;Candide;Tom spoke candidly during the meeting.;Tom has been reading Candide by Voltaire.
het_1441;neigh;nay;The horse began to neigh loudly in the quiet field.;When offered the position, she decided to say nay.
het_1029; special; spatial; She has a special talent for painting.; The spatial arrangement of the museum exhibits enhances visitor experience.
hom_1773;stars;stars;The stars are visible on a clear night.;She is one of the most famous stars in Hollywood.
hom_868;entrance;entrance;The main entrance to the building is on the north side.;The magician's performance seemed to entrance the entire audience.
het_341;lumbar;lumber;She experienced discomfort in her lumbar area after the long flight.;The contractor ordered enough lumber to complete the construction project.
hom_526; blended; blended; The artist blended different colors to create a harmonious palette.; The chef blended the ingredients into a smooth milkshake.
hom_1298;boiling;boiling;She was boiling with anger after the argument.;The chef was boiling the vegetables for dinner.
hom_207;combination;combination;The project requires a combination of technical and managerial skills.;He couldn't open the safe because he didn't know the combination.
hom_1999;hard to beat;hard to beat;This championship team is hard to beat.;The reinforced door is hard to beat.
het_593; Sirius; serious; Sirius is the brightest star in the night sky.; She was very serious about her studies.
het_1762; altitude; attitude; The airplane reached an altitude of 35,000 feet.; She maintains a positive attitude in every situation.
het_1612;hull;hell;The hull of the ship was damaged during the storm.;After the accident, he described the situation as a real hell.
het_1491;ajar;a jar;Please leave the door ajar so that the room can stay ventilated.;She kept her collection of coins inside a jar on the shelf.
hom_1980; attractive; attractive; The magnet is highly attractive to iron and steel objects.; She is very attractive and drew everyone's attention at the party.
het_229;sail;sale;Boats use sails to catch the wind and move forward.;The store is having a summer sale with discounts on all items.
hom_915;observant;observant;She is very observant and notices every little detail in her surroundings.;They are observant members of their faith, attending all religious ceremonies regularly.
hom_1876;pitched;pitched;The pitcher pitched the ball towards home plate.;She pitched the old sofa in the dumpster.
hom_505;tricky;tricky;Navigating the complex project was tricky and required careful planning.;The magician's tricky maneuvers amazed the audience.
hom_1350; chipper; chipper; After receiving the good news, Sarah felt chipper all day.; The worker used a chipper to process the fallen branches into small chips.
hom_1561;column;column;The ancient ruins in Greece feature impressive columns.;The journalist is writing several columns for the newspaper.
hom_596;caliber;caliber;She was recognized for her exceptional caliber in the project.; The handgun is chambered in .45 caliber.
hom_1762;ticked off;ticked off;She was ticked off after the meeting.;The old clock ticked off every minute loudly.
het_469;innocuous;innoculant;The medication is innocuous and does not cause any side effects.;She received the innoculant to protect herself against the flu.
het_1354;flue;flu;The flue needs to be inspected to prevent smoke from entering the house.;She stayed home from school because she had the flu.
het_1372; ships; chips; Several ships sailed across the bay.; I had fish and chips for dinner.
het_738;respond;respond;She needs to respond to the email by the end of the day.;His body will respond to the medication after a few hours.
het_978;basically;BASIC;He explained the process basically, so everyone could understand.;She is learning BASIC to develop her first computer program.
hom_1357;axis;axes;The Earth rotates around its axis once every 24 hours.;The lumberjack sharpened his axes before starting to chop the tree.
het_558;flatteringly;flattening;Tom spoke flatteringly about his colleague's work.;The steamroller is flattening the newly paved road.
het_337;peddled;pedaled;She peddled handmade jewelry at the market.;She pedaled her bicycle every morning.
het_740;senses;census;He relies on his five senses to navigate the world.;The latest census data showed a significant increase in the population.
hom_1077; buck; buck; The buck gracefully leapt over the fence into the forest.; She paid the coffee shop three bucks for her latte.
hom_2104;erased;erased;She erased the pencil lines from her sketch.;All evidence of the incident was completely erased.
hom_555; spruce; spruced up; He bought a spruce tree for his backyard.; She spruced up her outfit for the party.
hom_136;drain;drain;The constant overtime was a drain on her mental health.;He fixed the clogged kitchen drain.
hom_411;align;align;The two companies decided to align their business strategies.;They used rulers to align the paper edges perfectly on the desk.
hom_2245;battery;battery;To pass a battery of tests is required to become an electrician.;The electrician needed to replace the battery in his tool.
het_133;taut;taught;The sailors ensured that the ropes were taut before setting sail.;The instructor taught the students how to perform complex rope maneuvers.
hom_24;retire;re-tire;After forty years at the factory, she decided to retire.;The mechanic had to re-tire the car before the road trip.
hom_619; drive; drive; He learned to drive a car when he turned sixteen.; She perfected her drive to achieve greater distance on the golf course.
het_492;gross;gross;The shipment contains 144 items, which is one gross.;The kitchen was left in a gross state after the party.
hom_1072;hardened;hardened;The hardened cement set quickly under the sun.;The police have been tracking the hardened criminal for years.
hom_1383;rattled;rattled;She was rattled after the sudden change.;The snake's tail was rattled as a warning.
hom_1219;chickened out;chickened out;He chickened out of the investment deal because he was scared.;She chickened out the eggs every morning from the coop.
hom_1196; bonding; bonding; The family enjoyed bonding during their vacation.; The chemistry lesson focused on bonding between molecules.
hom_39;wrong on so many levels;wrong on so many levels;The proposal was wrong on so many levels, lacking both practicality and support.;The parking garage was wrong on so many levels, with each floor having structural issues.
het_851;secant;second;The secant of an angle is the reciprocal of the cosine.;I don’t have a second to spare before the meeting starts.
het_1341;pitcher;pitcher;The pitcher on the table was filled with lemonade.;The pitcher threw a fastball to the batter.
hom_2242;degrees;degrees;Meteorologists often pursue multiple degrees to advance their careers.;Today's high temperature is expected to be 75 degrees Fahrenheit.
hom_716;keep;keep;She decided to keep studying despite the challenges.;He decided to keep the documents hidden from others.
het_1268; sin; sign; She confessed her sin to the priest.; He placed a sign at the entrance of the store.
hom_1543;execution;execution;The execution of the prisoner was carried out at dawn.;The execution of the software took longer than expected.
hom_2158;degrees;degrees;The temperature today is 75 degrees Fahrenheit.;She completed her degrees in engineering and mathematics.
hom_516;charge;charge;Please charge your smartphone overnight.;The store will charge your credit card for the purchase.
het_55;crummy;crumby;After hearing the bad news, she felt crummy.;After baking, the kitchen was crumby.
het_590; rush; rush; I need to avoid the morning rush when the streets are crowded.; I rush to finish my assignments before the deadline.
het_1070;forth;fourth;She will hold forth about her new project at the conference.;She held fourth place in the marathon.
hom_2217;venture;venture;She decided to venture into the unknown despite the risks.;The new tech venture is expected to revolutionize the industry.
het_1508;bitter;bitter;She was bitter about losing the game.;The coffee tasted bitter after roasting.
het_124;pigeon English;pidgin English;The ornithologist observed pigeon English in their natural habitat.;She used pidgin English to communicate with the local people.
het_751;C;see;Programmers often use the C language for system programming.;I can't see anything without my glasses.
hom_943;leaf;leaf;The landscaper likes to leaf through gardening magazines for inspiration.;The tree’s leaves provide shade during the summer months.
het_35;humorlessly;humerus-less;She spoke humorlessly about the sad event.;After the accident, his arm was humerus-less.
het_1585;junk;stuff;Junk is often used to describe items that are no longer needed.;I need to organize some stuff in my garage.
het_201; descent; decent; He belongs to a noble descent.; She earns a decent wage.
hom_178;clicked;clicked;The seatbelt clicked into place.;After a while, the solution finally clicked.
het_1014;backup;back up;She always kept a backup of her important files.;He had to back up the forklift slowly to avoid hitting the wall.
het_1050;mittens;kittens;I wore my new woolen mittens during the snowy days.;She just adopted three playful kittens from the shelter.
hom_1539;disconnected;disconnected;The phone line was disconnected due to severe weather conditions.;She felt disconnected from her peers after moving to a new city.
het_104;pensive;pen;"The author was pensive while developing the characters.";"The author used a pen to write his manuscript."
het_1278; meddlingly; medal; He meddlingly interfered in their conversation.; She was awarded a bronze medal in the competition.
hom_1807;streak;streak;The team has enjoyed a winning streak this season, securing victories in every match.;She decided to add a new streak of blue to her hair for a fresh look.
het_671;Aiken;Aching;She attended the concert when Aiken performed live.;Her heart was aching after hearing the sad news.
hom_2062;break down;break down;They began to break down after a long day.;The data was broken down by age and sex.
hom_1227;took off;took off;When the company launched its new product, it really took off, becoming a market leader within months.;The airplane took off smoothly, soaring into the clear blue sky.
hom_455;served;served;He served in the army for five years.;She served dinner to the guests last night.
het_1221;weakly;weekly;Tom spoke weakly after the marathon.;We have a weekly meeting every Monday.
het_736; peace; piece; The country has been enjoying peace for decades.; She found the missing puzzle piece under the table.
het_102; mail; male; The postmen sorted the mail every morning to ensure timely delivery.; The group of friends engaged in male bonding activities during the weekend.
hom_694;deep trouble;deep trouble;He found himself in deep trouble after missing the deadline.;The swimmer encountered deep trouble in the unexpectedly deep part of the pool.
hom_1586;in toto;Toto;In toto, the project accounted for all expenses.;Toto is Dorothy's faithful dog in the Wizard of Oz.
hom_1636;choppers;choppers;The choppers arrived at the landing site just in time to assist.;After the accident, he lost several choppers and needed dental care.
het_1384;vend;fend;She decided to vend her handmade jewelry at the local market.;After the company downsized, he had to fend for himself financially.
hom_1969;pull;pull;He began to lose his pull within the organization.;The dentist had to pull the patient's tooth during the procedure.
hom_672;the tops;the tops;Their new product line is simply the tops.;She loves the tops of her bikinis.
hom_1103;walked;walked;The pitcher walked the batter after four pitches.;I walked my dog every morning in the park.
het_672;board;bored;She decided to become a member of the school board to contribute to the education system.;He was bored during the long lecture.
hom_444;can;can't;He opened the can to access the soup inside.;She can't attend the meeting today.
het_16;made;maid;The china doll was made in the USA.;The maid in the USA cleans the house.
het_1488;or;ore;Would you like tea or coffee?;The miner extracted valuable ore from the mine.
het_1647;odor;order;The odor from the garbage can was unbearable.;The judge maintained order in the court during the trial.
hom_1786;picked it up;picked it up;He picked it up as a new habit.;He picked it up the heavy weights during training.
het_19;octave;active;The pianist shifted the piece up by one octave.;She remains active in the community by volunteering regularly.
het_1734;feel;veal;After running the marathon, he didn't feel well at all.;They ordered veal for their dinner last night.
hom_575;charged;charged;The authorities will charge the suspects with the crime.;Please charge your smartphone before the meeting.
het_1132;pays;paste;It pays to invest early.;She used paste to attach the paper.
hom_140;General;general;General Thompson gave the order to his soldiers.;The instructions were too general to be followed accurately.
het_1627;whist;wist;They spent the evening playing whist.;She acted with a wist for the past.
het_1084;pain;pane;She felt a constant pain in her shoulder after the workout.;The window pane needed to be replaced after the storm.
hom_1682;in a new light;in a new light;The company began to see their strategy in a new light after the recent survey.;The newly installed light provided a new light for the workspace, improving visibility.
hom_88;match;match;The soccer team won the match yesterday.;He used a match to light the campfire.
hom_1433;measure up;measure up;She strives to measure up to the company's high performance standards.;The tailor needs to measure up the client accurately to create a perfect-fitting suit.
het_484;made up;made up;I have made up my mind to pursue a career in engineering.;The story he told was entirely made up.
het_156;pistol;pistil;The security guard carried a pistol to ensure safety.;The pistil of the lily attracts pollinators for reproduction.
het_75;pedal;petal;He pressed the pedal to accelerate the car.;The rose petal was soft and fragrant.
hom_804; plunge; plunge; She decided to take the plunge and start her own business.; The plumber had to plunge the drain to remove the clog.
hom_1566;weird;weird;The new student has a really weird sense of humor.;The spelling of 'weird' does not follow the common English rules.
het_1202;Caerphilly;carefully;I visited Caerphilly last summer.;Please handle the equipment carefully.
het_822;pigment;figment;The artist mixed different pigments to create a vibrant painting.;The idea of a flying car is just a figment of science fiction.
het_334;taxes;taxis;Taxes are levied by the government.;Taxis transport passengers around the city.
het_1531;prism;prison;A prism is used by optical scientists to split light into its spectrum.;He was sentenced to three years in a state prison.
het_1047;Rex;wrecks;My name is Rex.;I manage the wrecks at the junk yard.
hom_733;career;career;She decided to pursue a career in medicine after college.;The satellite showed the career of the comet over several years.
hom_1680;lose heart;lose heart;After facing multiple failures, she began to lose heart.;The surgeon had to lose heart during the transplant procedure.
hom_1503;drawn;drawn;She is drawn to classical music;He has drawn several sketches of the landscape.
het_629;alloy;ally;The blacksmith decided to alloy copper and tin to make bronze.;The two mining companies became allies to strengthen their market position.
hom_853;rebuffed;rebuffed;The employee was rebuffed by his supervisor.;She rebuffed the leather shoes to restore their shine.
hom_2204;plastered;plastered;The walls were completely plastered before the painting began.;After the party, he was completely plastered.
hom_1363;dribbling;dribbling;The faucet was dribbling all night, keeping him awake.;She was dribbling the ball down the court with great skill.
het_1511;issue;issue;The latest issue of the magazine features an in-depth interview with the author.;The team met to discuss the issue that was causing delays in the project.
het_107;let off steam;let off esteem;He decided to let off steam by going for a run.;She chose to let off esteem by praising her team members.
het_370;bell;belle;A bell rang every morning at the town square to signal the start of the day.;She was considered the belle of the ball, admired by everyone in attendance.
hom_83;rejoined;rejoined;The team rejoined after the long break.;She rejoined the conversation with a witty remark.
hom_23;burning questions;burning questions;"The committee is focused on several burning questions that need immediate resolution.";"At the fire station, the chief was always asked burning questions about handling large-scale emergencies."
het_54; awful; offal; The weather today was awful due to the severe storm.; The restaurant served various types of offal, including liver and tripe.
hom_2044;suit;suit;He wore a new suit to the interview.;They decided to file a suit against the company.
hom_1556;foiled again;foiled again;After months of planning, their project was foiled again by budget cuts.;The chef wrapped the leftover lasagna foiled again to keep it fresh.
het_553;sink;zinc;The boat began to sink after the hull was damaged.;The workers applied a zinc coating to the ship's hull to prevent corrosion.
hom_1147;draw;draw;The spokesperson aimed to draw attention to the campaign.;Artists often draw detailed sketches before starting their paintings.
hom_540;cycles;cycles;The company's sales go in cycles, peaking every summer.;The bike store only sells cycles with two wheels.
het_923; wildly; Wilde; She danced wildly at the party, showing no restraint.; Oscar Wilde was a renowned playwright.
het_771;whey;way;The cheese makers carefully collected the whey after curdling the milk.;The hikers began to lose their way as the trail became unclear.
het_42;mutter;mother;He began to mutter under his breath when he didn't get his way.;Her mother always supported her dreams.
het_1369;naval;navel;The naval fleet participated in the joint exercises this summer.;She had a small tattoo on her navel.
hom_1907;went out at night;went out at night;She never went out at night to socialize.;The lighthouse light never went out at night, ensuring safe passage for ships.
hom_2080;hitch;hitch;After dating for five years, they decided to hitch this summer in a small ceremony.;The car's engine began to hitch during the long drive, causing delays.
hom_1199;break;brake;The vase will break if you drop it.;You need to check your car's brake regularly.
hom_1153;ring;ring;He placed the beautiful gold ring on her finger.;The fighters entered the boxing ring to begin the match.
hom_357;sucked;sucked;The vacuum cleaner sucked up all the dust.;The meal we had last night really sucked.
hom_491;palms;palms;She trained to read palms as part of her studies in palmistry.;He raised his palms to wave goodbye to his friends.
hom_637;frank;frank;The manager was frank about the project's challenges.;She bought a frank from the street vendor.
het_427;footage;footage;"The director reviewed the security footage to identify the event details.";"After the marathon, the runner's footage showed signs of fatigue in his feet."
hom_2058;intoxicating;intoxicating;The strong beverage was intoxicating, leading many to feel lightheaded.;The performance was intoxicating, captivating the entire audience.
hom_586;designs on;designs on;He designs on his colleague, hoping for a relationship.;The tattoo artist designs on his clients with intricate patterns.
hom_1447; flat rate; flat rate; The internet service is billed at a flat rate every month.; The mechanic charged a flat rate to fix my flat tire.
hom_1737;poached;poached;The poachers poached illegally in the protected area.;She prefers her eggs poached for breakfast.
hom_767;smart;smart;The burn on his arm made it smart.;She is exceptionally smart and solved the problem quickly.
het_1436; callously; callus; Tom spoke callously towards his team; After months of rowing, Tom developed a painful callus on his hand
het_1048;storey;story;The building has five storeys.;She shared an interesting story.
hom_569; power; power; The manager's power increased after the successful project.; The power in the building was restored after the outage.
hom_1850;casually;casually;"She casually mentioned that she was moving to another city.";"He was hired casually for the weekend event."
het_166;capital;capitol;It was a capital achievement for the team.;The capitol building is located in Albany.
hom_1139;developed;developed;The photographer developed the film using a traditional darkroom process.;Over the years, she became a well-developed individual with strong leadership skills.
hom_81; get the boot; get the boot; If you continue to violate company policies, you will get the boot.; All hikers need to get the boot before embarking on the trail.
het_1359;magnate;magnet;George Westinghouse was a successful magnate in the electrical industry.;A magnet was placed on the refrigerator to hold the notes.
het_1484;mourning;morning;After the loss of her pet, she entered a period of mourning.;They go for a jog every morning before breakfast.
het_1138;karma;korma;She believes that doing good deeds will bring her positive karma.;For dinner, we ordered a delicious chicken korma.
hom_221; all right; all right; She is all right with her new job.; After the accident, he was all right.
het_1330;to err;to heir;To err is human.;To heir the estate requires proper documentation.
hom_161;hoot;hoot;The concert last night was a real hoot, and everyone had a great time.;The owls in the forest started to hoot as the sun set.
het_1412;margin;margarine;The margin of error in the election survey was reported to be plus or minus three percent.;She spread margarine on her toast every morning.
hom_969;cooked the books;cooked the books;The chef cooked the books to prepare delicious meals for the restaurant.;The accountant cooked the books to manipulate the company's financial statements.
hom_995;calves;calves;The rancher looked after his calves carefully.;She strained her calves during the marathon.
hom_288;fan;fan;I turned on the fan to cool down the room.;I'm a big fan of classical music.
het_709; bail; bale; He had to pay bail to be released from jail.; The farmer stored the hay in a bale.
het_1445;reason;raisin;The scientist provided a reason for the experiment.;She added a raisin to the salad.
hom_1657;layers;layers;The building has five layers of office spaces.;The poultry farm raises layers for continuous egg supply.
hom_553;dig;dig;She really digs playing the guitar in her free time.;The crew had to dig several feet underground to lay the foundation.
hom_1512;element;element;The artist felt truly in his element while painting landscapes.;She carefully replaced the heating element in the stove to ensure it worked properly.
het_31;hostel;hostile;They decided to stay in a hostel during their trip.;The two countries remained hostile despite the peace talks.
hom_631;Grant;grant;Grant works diligently as a civil servant in the department.;The organization received a government grant to fund its new project.
het_1020;coffin;coughin;They placed the body carefully into the coffin.;He was coughin so hard that he couldn't breathe.
hom_1404; flap; flap; After receiving the unexpected news, she was in a flap for the rest of the day.; They adjusted the flap of the tent to keep out the rain.
hom_2238;legend;legend;The renowned artist is considered a legend in the music industry.;The map's legend clearly indicates the symbols for various landmarks.
het_832;pray;prey;I pray every morning for peace.;The lion hunts its prey at dusk.
hom_2213;Teddy;Teddy;Teddy is a common first name.;She purchased a new teddy for her lingerie collection.
het_1640;wrote;rote;Tom wrote a letter.;She relied on rote memorization to learn the poem.
het_1440;sick;sick;He is feeling sick and needs to rest today.;Her latest dance move is absolutely sick.
het_1403;agreed;greed;She agreed to join the project team.;His greed for wealth led him to unethical decisions.
het_172;grate;great;The metal grate covered the water drain.;She had a great time at the party.
hom_2176;brace;brace;The boy had to brace himself before the challenging orthodontist visit.;The orthodontist fitted the boy with braces to straighten his teeth.
hom_386;arranged marriage;arranged marriage;She entered into an arranged marriage set up by her parents.;He admired the arranged marriage of flowers in the vase.
hom_992;poacher;poached;"The poacher was arrested for illegal hunting.";"I prefer my eggs poached rather than fried."
het_630;liaisons;lessons;Studying French liaisons is essential for proper pronunciation.;She signed up for five easy lessons to learn French.
het_1763;Sundays;sundaes;I always look forward to Sundays with my family.;For dessert, I would like a chocolate sundae, please.
hom_77;rest;rest;She took some rest after the long hike.;He finished reading the rest of the book.
hom_261;falling out;falling out;The two colleagues had a falling out after their project failed.;He had a falling out from the tree house and broke his arm.
het_366;feints;faints;The boxer executed several feints to confuse his opponent.;She faints at the sight of blood.
het_153; steak; stake; He ordered a juicy steak for dinner.; The villagers used a stake to defend the town from vampires.
hom_1735;swell;swell;She had a swell time at the concert.;The surfers waited for a perfect swell.
het_591;releaved;relieved;After the winter, the deciduous trees were releaved with fresh new leaves.;He felt relieved when the stressful situation was finally over.
het_634;Sun;Son;Exposure to the sun is essential for maintaining healthy vitamin D levels.;Spending time with my son helps prevent feelings of loneliness.
hom_1953;sweet;sweet;The dessert was exceptionally sweet.;She has been sweet on him for years.
het_1386; bossed; bussed; The manager bossed the team to meet the deadline.; After dinner, the guests were bussed to their next tables.
het_701;frieze;freezing;The artist painted a beautiful frieze on the building's facade.;It's freezing today, so the lake has frozen over.
hom_2096;reception;reception;The reception was held in a grand ballroom.;His reception during the game improved significantly.
hom_363;heel;heel;The athlete injured his heel during the marathon.;She turned out to be a real heel, always looking out for herself.
hom_458;justification;justification;Her justification for the project was compelling.;The paragraph's justification was changed to align both left and right margins.
het_1474;cabernet;cabinet;She enjoys drinking a cabernet with her dinner.;They locked the dishes in the cabinet.
hom_1991;point;point;The arrow has a sharp point.;She made her point clearly during the meeting.
hom_267;faculties;faculties;The university's faculties are responsible for developing the curriculum.;After the accident, he began to lose his faculties.
het_861;chaps;chips;The cowboy wore leather chaps while working.;She ordered fish and chips for lunch.
hom_900;baloney;bologna;His argument was pure baloney.;I ordered bologna for my sandwich.
het_179; upheld; upheld; The judge upheld the lower court's decision.; The pillars upheld the structure to prevent collapse.
hom_1720;sentence;sentence;The professor explained how to construct a meaningful sentence.;She was given a ten-year sentence for her actions.
hom_1615;make a lot of money;make a lot of money;He managed to make a lot of money through his investments.;The mint makes a lot of money by producing coins and currency.
hom_1085;flying;flying;During the turbulence, objects inside the cabin started flying.;She enjoys flying to different countries every year.
hom_547; going downhill; going downhill; His performance is going downhill since last year.; They spent the afternoon going downhill on the ski slopes.
hom_1451;jumped on;jumped on;She jumped on the opportunity to start her own business.;He jumped on the trampoline every afternoon for exercise.
het_113;compliment;complement;She gave her colleague a heartfelt compliment for his outstanding work.;The curtains complement the room's color scheme beautifully.
hom_1622;blustered;blustered;During the meeting, the manager blustered his opinions without listening to others.;The storm blustered through the coastal region, causing widespread damage.
het_1280;Mary;marry;Mary is coming to the party tonight.;They decided to marry in the spring.
hom_1717;wee;wee;The child enjoyed a wee snack before dinner.;He had a wee accident and needed a change of clothes.
het_123;boulder;bolder;I climbed a boulder during my rock climbing session.;She was much bolder when facing the challenges back then.
het_1536;forewarned;forearmed;Forewarned about the upcoming exam, he studied all night.;She was forearmed with the latest technology before starting her project.
hom_2155;lose class;lose class;After the heated debate, she began to lose class in her interactions with others.;Due to unforeseen circumstances, the teacher had to lose class for the afternoon.
hom_607;what's good for the goose is good for the gander;what's good for the goose is good for the gander;The company's new policy follows the principle that what's good for the goose is good for the gander, ensuring equal benefits for all employees.;On the farm, the farmer ensures that what's good for the goose is good for the gander by providing balanced nutrition to both.
het_409;Stalin;stalling;Stalin led the Soviet Union during World War II.;The car keeps stalling when I try to accelerate.
hom_2161;part;part;She decided to create a part in her hair.;She could not part with her cherished necklace.
hom_700;fold;fold;During the tournament, he decided to fold when he didn't have a good hand.;The company was forced to fold after failing to turn a profit.
hom_785;clammed up;clammed up;She clammed up during the interview and wouldn't say a word.;The clammed up clam stayed tightly closed in the sand.
hom_1480;heart;hart;She took care of her heart by exercising regularly.;The hart roamed freely in the quiet forest.
hom_1726;remote;remote;I used the remote to change the TV channel.;It is a remote possibility that it will rain today.
hom_558;precipitous;precipitous;The precipitous mountain face required careful climbing.;Her decision to take up rock climbing was precipitous.
hom_485;connections;connections;She used her connections to get the job.;The electrician checked all the connections to ensure the circuit was complete.
hom_205;pass on;pass on;The caravan continues to pass on through the desert.;After a long illness, he decided to pass on peacefully.
het_1449;sole;soul;A sole is a type of flatfish commonly found in marine environments.;She poured out her soul through her heartfelt poetry.
hom_1382;lying;lying;After a long day, she is lying in bed.;He is lying about his whereabouts last night.
het_46;reptiles;tiles;The zoo has a large collection of reptiles, including snakes and lizards.;They decided to install ceramic tiles in the kitchen for durable flooring.
hom_408;pass the time;pass the time;He likes to pass the time by reading novels.;After swallowing the watch, Junior had to pass the time until it was expelled from his system.
hom_1381;shot;shot;She decided to give it her best shot in the competition.;The nurse gave the patient a shot to vaccinate him.
het_1651;protractor;tractor;She used a protractor to measure the angle of the triangle.;The farmer drove the tractor across the field.
het_2;Chinese letter;Chinese laborer;The Chinese letter was beautifully calligraphed on the scroll.;The Chinese laborer worked diligently on the construction site.
hom_1164;pan;pan;She used a pan to cook the pizza.;The project did not pan out as expected.
hom_2121;making the cut;making the cut;He trained hard to make the cut for the team.;The butcher is making the cut by slicing the meat.
hom_1449; dealt with; dealt with; The manager said he would deal with the issue immediately.; In the card game, each player was dealt with five cards.
hom_1558;stroke;stroke;The artist carefully executed each stroke of the brush to create the masterpiece.;He had a stroke last year but has since recovered remarkably.
hom_47;groundbreaking;groundbreaking;The scientist's groundbreaking research opened new avenues in renewable energy.;The ceremony was held to mark the groundbreaking for the new library.
hom_1408;sentence;sentence;She wrote a complex sentence for her literature class.;He received a ten-year sentence for the crime.
hom_1770;hacker;hacker;The hacker breached the company's security systems.;Due to a severe cold, the individual became a frequent hacker.
hom_464;ironed out;ironed out;They managed to ironed out all the problems.;She ironed out her shirt before the event.
het_283; bat; bat; The baseball player swung the bat with great strength.; The bat flew out of the cave at dusk.
hom_1020; absorbed; absorbed; She was completely absorbed in her work.; The sponge effectively absorbed the spilled liquid.
hom_1882;patience;patients;He that can have patience can achieve his goals.;A doctor must carefully attend to each of their patients.
hom_397;august;August;The august traditions of the university date back centuries.;I plan to take a vacation in August this year.
het_1193; bee; B; I saw a bee collecting nectar from the flowers.; She received a B on her exam.
het_271;time;thyme;We need to manage our time wisely to achieve our goals.;She added fresh thyme to the soup to enhance its flavor.
hom_914;rare;rare;It is rare for the sun to shine this late in the evening.;I prefer my steak cooked to rare.
hom_107; lab; lab; The scientist conducted experiments in the lab.; He took his lab for a walk every morning.
hom_1412;gravitated;gravitated;"She gravitated towards the study of biology due to her passion for living organisms.";“The paratroopers gravitated downward as they deployed their parachutes.”
hom_185;problems;problems;I have several math problems to solve for tomorrow's class.;They are discussing their personal problems during the meeting.
het_1519;week;weak;I have a busy week ahead with many meetings.;After running the marathon, he felt weak and needed to rest.
hom_1482;hell;hell;She exclaimed "hell" when she saw the accident.;He believed that the wicked would go to hell after death.
hom_940;balls;balls;He lined up his juggling balls carefully before starting his performance.;She didn't have the balls to confront her boss about the issue.
hom_1419; brushing off; brushing off; The manager was brushing off the employee's concerns.; The dentist was brushing off the patient's teeth.
hom_165;steal;steal;The burglar tried to steal the antique vase.;During the game, the runner attempted to steal second base.
hom_1326;guts;guts;The surgeon carefully examined the patient's guts.;She didn't have the guts to speak up during the meeting.
het_1141;sine;sign;The sine of a 45-degree angle is √2⁄2.;The stop sign was clearly visible at the intersection.
het_277;bolder;boulder;She decided to be bolder in her approach.;He lifted a large boulder during the hike.
het_770;no breaks;no brakes;The trucker stayed on the road without taking any breaks.;The trucker's truck was unsafe because it had no brakes.
hom_2235;bounced back;bounced back;The ball bounced back after being thrown.;After the financial crisis, the company bounced back and regained profitability.
hom_211; strokes; strokes; She used little strokes of effort to achieve her goals.; He delivered little strokes to fell the great oaks.
het_795;summarised;summer-ize;She summarised the main points of the meeting.;She decided to summer-ize her wardrobe for the beach season.
hom_929;went haywire;went haywire;The machine went haywire during the experiment, causing unexpected results.;After hearing the bad news, she went haywire and couldn't calm down.
hom_1462; pocket; pocket; She decided to pocket her earnings to save for a new bicycle.; The mother kangaroo kept her joey safely in her pocket.
het_758;piece;peace;The composer carefully arranged the piece for the orchestra.;The community worked tirelessly to maintain peace after the conflict.
het_224;dyed;died;The hair stylist dyed her client's hair a vibrant shade of blue.;Her grandfather died last year after a long illness.
het_627;doubt;drought;I doubt that he will arrive on time.;The region has been experiencing a severe drought for the past year.
het_1381;ghost;goes;The ghost haunted the old mansion for decades.;What goes up must come down, according to the law of gravity.
hom_582;buffaloed;buffaloed;"The complex instructions completely buffaloed the new employees.";"The buffaloed plains were home to numerous herds of bison."
hom_1463;concrete;concrete;The new highway was paved with concrete.;There are many concrete examples of effective teaching methods.
het_842;Harley;hardly;I dream of owning a Harley motorcycle one day.;I can hardly wait to start my new job.
het_1546;moor;more;They decided to moor their gondola along the Grand Canal.;They wanted to see more of Venice during their trip.
hom_1547;expire;expire;The credit card will expire next month.;After a long illness, he expired peacefully.
hom_2228;bank;bank;I need to visit the bank to manage my savings.;We enjoyed walking along the river bank during sunset.
hom_566;square;square;After their disagreement was resolved, they decided to call it square.;The boxing ring is designed in a perfect square shape.
hom_2165;blow;blow;The tornado's powerful blow destroyed many buildings.;He took a blow to the head during the fight.
het_396;urn;earn;Please place the ashes in the urn.;You need to earn your salary through hard work.
het_431;sparingly;sparingly;He chose to speak sparingly during the meeting.;After the tire blew out, he had to use the sparingly from the trunk.
